Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/matt_proteomics/250711_MM_11262_8_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_2_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_7_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_6_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_4_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_5_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_3_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_1_uncalibrated.mzML
P54852	P54852		EMP3		3.23385e+07	2.85871e+07	3.38235e+07	3.50783e+07	2.41235e+07	4.64464e+07	3.36314e+07	4.68539e+07
P54886	P54886		ALDH18A1		1.8647e+08	8.74789e+07	1.50864e+08	6.9075e+07	2.11389e+08	1.07709e+08	1.64514e+08	1.10884e+08
P54920	P54920		NAPA		3.42989e+07	4.18256e+07	3.8319e+07	4.06778e+07	3.44484e+07	5.80183e+07	4.42043e+07	6.19883e+07
P55010	P55010		EIF5		1.74676e+07	2.77114e+07	2.20729e+07	2.76114e+07	1.69817e+07	3.05251e+07	2.29323e+07	3.01444e+07
P55011	P55011		SLC12A2		1.48018e+07	1.45805e+07	1.33526e+07	1.1943e+07	1.79579e+07	2.05454e+07	1.44958e+07	2.18054e+07
P55036	P55036		PSMD4		1.23759e+07	1.83674e+07	1.54521e+07	1.60921e+07	1.21563e+07	1.34452e+07	1.58414e+07	1.39994e+07
P55039	P55039		DRG2		9.31327e+06	1.24349e+07	1.24257e+07	1.45062e+07	8.38193e+06	9.99388e+06	1.18176e+07	9.35731e+06
P55060	P55060		CSE1L		2.10279e+07	1.05636e+08	7.97839e+07	1.58188e+08	2.71969e+07	6.43226e+07	5.99073e+07	5.28275e+07
P55061	P55061		TMBIM6		1.95256e+06	2.66481e+06	2.54718e+06	3.20126e+06	3.34796e+06	5.36208e+06	2.64899e+06	4.59333e+06
P55072	P55072		VCP		6.46278e+07	1.01588e+08	7.65593e+07	6.82791e+07	6.22071e+07	8.67559e+07	7.67507e+07	8.40807e+07
P55081	P55081		MFAP1		673921	1.10487e+06	702248	1.11534e+06	789724	343940	1.19788e+06	570565
P55082	P55082		MFAP3		1.00152e+06	1.45369e+06	975805	962589	1.3068e+06	1.79572e+06	1.30612e+06	1.55936e+06
P55084	P55084		HADHB		4.65528e+08	3.85498e+08	3.79252e+08	3.04018e+08	4.14692e+08	3.68776e+08	3.90224e+08	3.79191e+08
