Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/matt_proteomics/250711_MM_11262_8_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_2_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_7_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_6_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_4_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_5_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_3_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_1_uncalibrated.mzML
A0A075B6K5	A0A075B6K5		IGLV3-9			2.08325e+06						694323
A0A075B6P5	A0A075B6P5		IGKV2-28			1.15933e+07						3.44773e+06
A0A075B6R9	A0A075B6R9		IGKV2D-24			1.53132e+06						996053
A0A075B6S5	A0A075B6S5		IGKV1-27			2.57489e+06						622822
A0A096LNW5	A0A096LNW5		NOTCH2NLR		355685	310606	554069	374798	606542	627783	455893	396606
A0A096LP01	A0A096LP01		SMIM26		1.77243e+06	2.30668e+06	1.96055e+06	1.55513e+06	2.49614e+06	6.22161e+06	1.93091e+06	6.36142e+06
A0A0B4J1X5	A0A0B4J1X5		IGHV3-74			7.55862e+06						2.06963e+06
A0A0B4J2A2	A0A0B4J2A2		PPIAL4C		1.69435e+08	1.95e+08	1.66868e+08	2.39394e+08	1.79337e+08	2.2929e+08	2.02701e+08	2.17936e+08
A0A0B4J2B5	A0A0B4J2B5		IGHV3OR16-9			3.9888e+07	1.09951e+06	1.2067e+06			1.14236e+06	1.06248e+07
A0A0B4J2F0	A0A0B4J2F0		PIGBOS1		5.30619e+06	4.73173e+06	4.05256e+06	5.12686e+06	4.91927e+06	6.55146e+06	4.29863e+06	5.25827e+06
A0A0C4DGP1	A0A0C4DGP1		SMIM10L3		1.62702e+06	1.09749e+06	1.25181e+06	1.46606e+06	1.61008e+06	1.08109e+06	1.75022e+06	855817
A0A0C4DH29	A0A0C4DH29		IGHV1-3		1.73954e+06	2.19892e+06						2.34882e+06
A0A0C4DH41	A0A0C4DH41		IGHV4-61			7.8467e+06						1.64987e+06
A0A0C4DH72	A0A0C4DH72		IGKV1-6			2.59648e+06						810495
A0A804HLA8	A0A804HLA8		GNG5B		2.90424e+06	2.48797e+06	3.90807e+06	4.80916e+06		4.67227e+06	3.88162e+06	
A0ABB0MV19	A0ABB0MV19				4.26761e+07	5.68782e+07	3.03029e+07	2.69625e+07	7.10455e+07	3.08482e+07	5.84294e+07	5.12783e+07
A0AVF1	A0AVF1		IFT56		1.32002e+06	1.79647e+06	1.46383e+06	1.5154e+06	1.62843e+06	1.38882e+06	1.90262e+06	1.58223e+06
A0AVI4	A0AVI4		TMEM129		1.3158e+06	768665	1.5523e+06	1.45625e+06	1.31059e+06	3.30403e+06	2.15329e+06	4.04161e+06
A0AVT1	A0AVT1		UBA6		9.33635e+06	1.28348e+07	1.17848e+07	1.47492e+07	8.40954e+06	9.0211e+06	1.09546e+07	9.2016e+06
A0FGR8	A0FGR8		ESYT2		2.74778e+07	1.91544e+07	2.73892e+07	2.68118e+07	2.11213e+07	2.83395e+07	2.22724e+07	2.42219e+07
A0JLT2	A0JLT2		MED19			770852		510578				
A0JNW5	A0JNW5		BLTP3B		984077	1.64185e+06	1.13092e+06	1.49194e+06	1.07652e+06	1.02562e+06	1.44067e+06	1.01449e+06
A0MZ66	A0MZ66		SHTN1		1.56366e+06	1.28355e+06	1.34423e+06	1.12009e+06	1.94424e+06	1.15344e+06	1.45752e+06	1.06638e+06
A0PJW6	A0PJW6		TMEM223		2.05927e+07	2.2789e+07	1.79115e+07	2.01213e+07	2.14444e+07	3.42669e+07	2.22919e+07	3.6084e+07
A0PJZ3	A0PJZ3		GXYLT2		253411	162756	206402	255498	376222	308337	253692	343162
A0PK00	A0PK00		TMEM120B		2.09136e+06	1.99083e+06	2.11882e+06	1.68421e+06	1.83035e+06	3.24911e+06	2.1044e+06	2.60707e+06
A1A4S6	A1A4S6		ARHGAP10		3.08218e+06	4.16451e+06	3.34023e+06	3.77808e+06	3.82161e+06	2.6917e+06	3.71653e+06	2.61687e+06
A1A5D9	A1A5D9		BICDL2			631137						
A1L020	A1L020		MEX3A		1.81727e+06	2.03306e+06	1.69814e+06	1.88689e+06	1.85073e+06	2.08047e+06	1.99071e+06	2.62782e+06
A1L0T0	A1L0T0		ILVBL		2.35142e+07	3.09878e+07	2.5193e+07	2.49442e+07	2.79089e+07	3.40457e+07	3.1844e+07	4.00529e+07
A1L390	A1L390		PLEKHG3		4.69148e+06	3.54226e+06	5.0234e+06	5.0365e+06	3.76183e+06	5.00419e+06	4.07552e+06	3.66917e+06
A1X283	A1X283		SH3PXD2B		9.61144e+06	1.10868e+07	8.39895e+06	8.84739e+06	9.3695e+06	6.8514e+06	9.23885e+06	7.56392e+06
A2A2Y4	A2A2Y4		FRMD3		1.348e+07	1.23891e+07	1.47521e+07	1.60718e+07	1.3733e+07	1.40014e+07	1.56707e+07	1.37724e+07
A2RRP1	A2RRP1		NBAS		1.50474e+07	1.54087e+07	1.82323e+07	1.79288e+07	1.43363e+07	2.01616e+07	1.81356e+07	1.93756e+07
A2RU67	A2RU67		FAM234B		2.47015e+07	2.9758e+07	2.7615e+07	2.72458e+07	2.59572e+07	2.81182e+07	2.81624e+07	2.7378e+07
A2RUS2	A2RUS2		DENND3		711234	788007	985711	972607	657393	573544	749087	571289
A2VDJ0	A2VDJ0		TMEM131L		787511	1.00478e+06	844036	939168	1.41619e+06	1.42651e+06	1.28578e+06	1.62088e+06
A3KMH1	A3KMH1		VWA8		2.8038e+07	1.90601e+07	2.52871e+07	1.54062e+07	2.52047e+07	2.25844e+07	2.41645e+07	2.22904e+07
A3KN83	A3KN83		SBNO1		1.91986e+06	4.82592e+06	3.29505e+06	5.3989e+06	2.50483e+06	3.73118e+06	3.18131e+06	3.0721e+06
A4D1E9	A4D1E9		GTPBP10		1.16584e+07	9.36322e+06	1.0808e+07	5.45923e+06	1.45918e+07	1.1789e+07	1.35439e+07	1.45266e+07
A4D1P6	A4D1P6		WDR91		4.29458e+06	4.96023e+06	4.8566e+06	5.20578e+06	4.60758e+06	5.37331e+06	5.11387e+06	4.95389e+06
A4D1S5	A4D1S5		RAB19		9.46876e+06	5.09294e+06	7.38594e+06	3.63608e+06	1.61947e+06	1.11498e+07	5.44561e+06	1.33044e+07
A4D1U4	A4D1U4		DENND11		3.46033e+06	2.91009e+06	4.20594e+06	3.61486e+06	3.11566e+06	4.6514e+06	3.5033e+06	4.05344e+06
A5D8V6	A5D8V6		VPS37C		4.19497e+06	6.53347e+06	4.44672e+06	5.5455e+06	4.46448e+06	5.59047e+06	6.39969e+06	5.88157e+06
A5PLL7	A5PLL7		PEDS1		3.18383e+06	1.55135e+06	1.9304e+06	2.49384e+06	2.71363e+06	3.66252e+06	1.70914e+06	3.05912e+06
A5PLN9	A5PLN9		TRAPPC13		1.26594e+06	1.55839e+06	1.49727e+06	1.69674e+06	1.41944e+06	1.58139e+06	1.47176e+06	1.51732e+06
A5YKK6	A5YKK6		CNOT1		1.02421e+07	1.53326e+07	1.52224e+07	1.86184e+07	1.02241e+07	1.03802e+07	1.32128e+07	8.83295e+06
A6NCE7	A6NCE7		MAP1LC3B2		6.8351e+06	6.52275e+06	8.08268e+06	7.43747e+06	7.62955e+06	8.01055e+06	6.4389e+06	4.11591e+06
A6NCL7	A6NCL7		ANKRD33B		744204	921255	989438	1.10126e+06	718784	1.02406e+06	985237	862849
A6NCQ9	A6NCQ9		RNF222			2.04172e+06	2.09886e+06	2.28442e+06	1.72503e+06	2.27868e+06	1.65067e+06	1.80856e+06
A6NCS6	A6NCS6		C2orf72		6.71354e+06	2.98678e+06	6.22809e+06	4.59048e+06	3.97082e+06	5.61326e+06	5.61444e+06	4.24795e+06
A6ND36	A6ND36		FAM83G		1.0722e+06	1.76002e+06	1.23722e+06	1.01009e+06	1.8422e+06	873372	982377	961785
A6ND91	A6ND91		ASPDH		4.03881e+07	2.76042e+07	4.74582e+07	4.07188e+07	2.97929e+07	4.62866e+07	3.41348e+07	3.40762e+07
A6NDG6	A6NDG6		PGP		4.64921e+06	4.3547e+06	5.03514e+06	4.60479e+06	4.28909e+06	4.91874e+06	5.55938e+06	5.02008e+06
A6NDU8	A6NDU8		RIMOC1		2.19932e+06	6.68693e+06	5.34625e+06	7.75936e+06	2.29768e+06	3.71165e+06	4.8528e+06	3.33671e+06
A6NFQ2	A6NFQ2		TCAF2		2.01279e+07	1.04433e+07	1.50643e+07	1.10935e+07	1.33098e+07	1.34268e+07	1.18984e+07	1.13938e+07
A6NFY7	A6NFY7		SDHAF1		822499	1.1173e+06	1.08453e+06	867392	1.45507e+06	810993	1.24652e+06	789198
A6NHL2	A6NHL2		TUBAL3		4.11615e+06	9.95064e+06	7.39836e+06	1.60879e+07	6.96558e+06	7.10633e+06	7.6535e+06	7.73709e+06
A6NHR9	A6NHR9		SMCHD1		7.96412e+06	3.34284e+07	1.77508e+07	3.71408e+07	1.74605e+07	1.45343e+07	2.52994e+07	1.49362e+07
A6NIH7	A6NIH7		UNC119B		2.21711e+06	2.34044e+06	2.19529e+06	2.41738e+06	1.18979e+06	1.8846e+06	1.84669e+06	2.06533e+06
A6NJ78	A6NJ78		METTL15		1.25689e+07	1.16398e+07	9.66972e+06	5.22511e+06	1.95623e+07	8.77118e+06	1.62485e+07	1.18783e+07
A6NK58	A6NK58		LIPT2				1.25713e+06	1.09156e+06		1.40902e+06		
A6NKD9	A6NKD9		CCDC85C		3.84099e+06	2.71792e+06	3.80396e+06	3.01222e+06	3.78023e+06	4.39805e+06	3.18133e+06	3.3948e+06
A6NMY6	A6NMY6		ANXA2P2			4.64206e+07	8.80721e+07	6.17289e+07	3.66997e+07			8.362e+07
A6NNL5	A6NNL5		C15orf61		3.12576e+07	2.50555e+07	2.89874e+07	2.6923e+07	2.18672e+07	3.59332e+07	2.70955e+07	3.52634e+07
A6NNZ2	A6NNZ2		TUBB8B					2.95671e+07				
A6QL63	A6QL63		ABTB3		1.22302e+07	1.03675e+07	9.65099e+06	8.36152e+06	1.30189e+07	7.15272e+06	9.85741e+06	9.16699e+06
A7E2V4	A7E2V4		ZSWIM8		557246	794221	619096	766002	470908	645410	502551	600904
A7E2Y1	A7E2Y1		MYH7B		8.40624e+06	8.40219e+06	7.61727e+06	6.76111e+06	9.75927e+06	7.85647e+06	7.46151e+06	9.00347e+06
A7KAX9	A7KAX9		ARHGAP32		685369	1.0819e+06	709938	1.02417e+06	977000	633154	966678	678490
A8CG34	A8CG34		POM121C		1.22715e+06	1.65684e+06	1.33177e+06	1.48631e+06	1.21727e+06	1.72902e+06	1.59496e+06	1.95736e+06
A8K0Z3	A8K0Z3		WASHC1		6.11854e+06	7.10763e+06	5.69298e+06	5.89112e+06	7.44924e+06	4.54983e+06	6.40852e+06	5.50889e+06
A8K2U0	A8K2U0		A2ML1		7.18791e+06	1.35517e+07	6.21027e+06	5.43836e+06	5.46183e+06	7.96703e+06	7.68291e+06	8.20707e+06
A8MPS7	A8MPS7		YDJC		3.35625e+06	2.45514e+06	1.76685e+06	1.45571e+06		4.4406e+06		1.26439e+06
A8MTT3	A8MTT3		CEBPZOS		1.1904e+07	1.66587e+07	1.17573e+07	1.04703e+07	1.53997e+07	2.13794e+07	1.22861e+07	2.30205e+07
A8MUU1	A8MUU1		FABP5P3		1.33075e+07	1.11022e+07	1.58248e+07	1.38923e+07	1.44148e+07	2.04535e+07	1.57176e+07	1.92713e+07
A8MVW0	A8MVW0		FAM171A2		1.55047e+06	1.09078e+06	1.13222e+06	837182	1.36366e+06	932676	1.31847e+06	805760
A8MWD9	A8MWD9		SNRPGP15		2.554e+07	3.60256e+07	3.4697e+07	4.25279e+07	2.73773e+07	4.75739e+07	3.72864e+07	3.9632e+07
A8MWL7	A8MWL7		TMEM14DP		4.14025e+06	3.57807e+06	4.36225e+06	4.35314e+06	5.08597e+06	1.5563e+07	3.66674e+06	1.47968e+07
A8MWY0	A8MWY0		ELAPOR2		2.50198e+07	2.23967e+07	2.70637e+07	2.651e+07	1.84076e+07	3.38823e+07	2.52906e+07	3.30491e+07
A8MXV4	A8MXV4		NUDT19		1.03069e+08	7.14922e+07	7.96024e+07	3.85906e+07	1.00033e+08	7.89082e+07	8.89692e+07	8.03942e+07
A9UHW6	A9UHW6		MIF4GD		1.29337e+06	2.28221e+06	960763	1.69578e+06	592872	1.33431e+06	1.89806e+06	503806
B0YJ81	B0YJ81		HACD1		2.35929e+06	1.42963e+06	2.79813e+06	1.95165e+06	2.08412e+06	1.98405e+06	2.85573e+06	2.87038e+06
B1AK53	B1AK53		ESPN		942933		541414	427055	467332	312986	303866	219864
B2RTY4	B2RTY4		MYO9A		717171	837766	799406	659206	693692	543867	708395	563431
B2RUZ4	B2RUZ4		SMIM1		1.89128e+06	2.19867e+06	1.77378e+06	1.40296e+06	2.23885e+06	1.32169e+06	2.11506e+06	1.95968e+06
B3EWG3	B3EWG3		FAM25A			1.3304e+06						
B3KU38	B3KU38		IQCJ-SCHIP1		701280	500259	709432	615463	728049	593553	963691	724863
B4DH59	B4DH59		NBPF26		382048	333080	450303	304009	266837	328599	259731	78746.5
B7ZAQ6	B7ZAQ6		GPR89A		3.24931e+07	3.7753e+07	3.959e+07	4.68769e+07	4.16745e+07	5.25394e+07	3.80179e+07	4.8452e+07
B9A064	B9A064		IGLL5			3.41343e+07						8.76663e+06
C9J7I0	C9J7I0		UMAD1		125020	227704		235642		197505	176307	
C9JLW8	C9JLW8		MCRIP1		5.72007e+06	9.845e+06	7.69833e+06	7.84188e+06	8.5011e+06	5.59575e+06	8.05684e+06	7.45208e+06
C9JTQ0	C9JTQ0		ANKRD63		492372	506441	451567	562337	584082	784382	551094	
E9PAV3	E9PAV3		NACA		4.23756e+07	4.81763e+07	4.55524e+07	3.16775e+07	3.92884e+07	3.24209e+07	4.86099e+07	3.19547e+07
E9PRG8	E9PRG8		C11orf98		3.05172e+06	7.82344e+06	4.56115e+06	6.07786e+06	4.84615e+06	3.87017e+06	4.98775e+06	4.17391e+06
G2XKQ0	G2XKQ0		SUMO1P1		1.96118e+06	3.36436e+06	2.79946e+06	4.18718e+06	2.78682e+06	1.89367e+06	3.80895e+06	1.70161e+06
G9CGD6	G9CGD6		CNK3/IPCEF1		9.015e+06	7.15827e+06	7.9891e+06	7.20344e+06	1.0037e+07	8.83459e+06	7.61148e+06	7.81446e+06
H3BS89	H3BS89		TMEM178B			1.07573e+06	1.24441e+06	930826	1.51735e+06		1.79727e+06	1.08148e+06
O00115	O00115		DNASE2		6.40116e+06	3.60206e+06	6.82773e+06	3.0132e+06	6.38599e+06	4.4387e+06	7.61017e+06	4.1044e+06
O00116	O00116		AGPS		4.63787e+07	4.6263e+07	4.82952e+07	3.75596e+07	4.39181e+07	7.83848e+07	4.5361e+07	6.64307e+07
O00124	O00124		UBXN8		2.11672e+06	3.12926e+06	2.88809e+06	2.95198e+06	2.34445e+06	7.39281e+06	3.06793e+06	8.33305e+06
O00139	O00139		KIF2A		1.26593e+07	2.05585e+07	1.50873e+07	1.85684e+07	1.50747e+07	1.30687e+07	1.73463e+07	1.51848e+07
O00142	O00142		TK2		1.32291e+07	6.00802e+06	1.02167e+07	5.57945e+06	1.43843e+07	6.73388e+06	1.0395e+07	7.86067e+06
O00148	O00148		DDX39A		6.89406e+06	2.60618e+07	1.35252e+07	2.54613e+07	1.08289e+07	1.1266e+07	1.8762e+07	1.36518e+07
O00151	O00151		PDLIM1		6.3171e+07	5.7629e+07	7.81834e+07	8.13181e+07	4.14757e+07	7.10599e+07	8.93394e+07	7.00076e+07
O00154	O00154		ACOT7		7.35243e+07	5.56314e+07	6.77764e+07	4.92339e+07	7.2411e+07	3.9603e+07	6.91529e+07	4.26181e+07
O00159	O00159		MYO1C		1.5643e+08	1.18386e+08	1.2566e+08	1.07871e+08	1.38428e+08	1.14792e+08	1.17023e+08	1.12181e+08
O00161	O00161		SNAP23		9.97696e+07	6.85305e+07	1.16214e+08	1.04313e+08	7.59154e+07	1.22211e+08	9.53412e+07	9.00871e+07
O00165	O00165		HAX1		3.64914e+07	4.95023e+07	3.6242e+07	3.67525e+07	4.89823e+07	6.8256e+07	4.12021e+07	7.47283e+07
O00170	O00170		AIP		2.80972e+07	6.59565e+07	5.09547e+07	7.005e+07	4.12303e+07	3.58929e+07	5.39425e+07	3.96206e+07
O00178	O00178		GTPBP1		4.53698e+06	5.6564e+06	5.44693e+06	6.58818e+06	4.60632e+06	4.46956e+06	5.91065e+06	4.6431e+06
O00180	O00180		KCNK1		375505	246715	337560	351309	331372	422923	335466	449994
O00186	O00186		STXBP3		2.29925e+07	2.32779e+07	2.33976e+07	1.72452e+07	2.23783e+07	1.87599e+07	2.22413e+07	1.92439e+07
O00189	O00189		AP4M1		1.81467e+06	2.22392e+06	2.14731e+06	2.62417e+06	1.58825e+06	1.74134e+06	1.50671e+06	1.37787e+06
O00192	O00192		ARVCF		9.42476e+07	5.86604e+07	8.20641e+07	6.0924e+07	8.32784e+07	8.09133e+07	8.37508e+07	8.07105e+07
O00193	O00193		SMAP		959738	2.1773e+06	1.15493e+06	1.51421e+06	1.10432e+06	982577	1.42059e+06	936810
O00194	O00194		RAB27B		5.27186e+06	1.42128e+07	3.95018e+06	2.49333e+06	2.24023e+07	6.99598e+06	9.67395e+06	1.05252e+07
O00203	O00203		AP3B1		1.2994e+07	1.59158e+07	1.61661e+07	2.04695e+07	1.11042e+07	1.3486e+07	1.45845e+07	1.17608e+07
O00204	O00204		SULT2B1		1.35872e+06	2.53088e+06	1.5012e+06					
O00213	O00213		APBB1		1.89078e+06	2.00587e+06	2.09191e+06	2.79148e+06	1.82366e+06	2.08814e+06	2.20125e+06	1.4442e+06
O00214	O00214		LGALS8		3.85632e+07	3.14102e+07	3.32021e+07	2.70094e+07	3.36894e+07	4.45562e+07	2.7353e+07	3.68394e+07
O00217	O00217		NDUFS8		2.03653e+08	1.83427e+08	1.91231e+08	1.77775e+08	1.86247e+08	2.47524e+08	1.86403e+08	2.39239e+08
O00220	O00220		TNFRSF10A		7.76114e+06	5.72202e+06	1.13792e+07	8.02907e+06	8.23805e+06	1.14663e+07	8.16639e+06	9.79988e+06
O00221	O00221		NFKBIE		578041	590162	655505	870572	532196	801761	593572	622011
O00222	O00222		GRM8		1.93068e+06	1.75577e+06	1.31772e+06	1.00153e+06	798342	1.84935e+06	1.83456e+06	6.29051e+06
O00231	O00231		PSMD11		1.07955e+07	2.03728e+07	1.52624e+07	2.12118e+07	1.04107e+07	1.27927e+07	1.44969e+07	1.18636e+07
O00232	O00232		PSMD12		9.92492e+06	1.83029e+07	1.57837e+07	2.1427e+07	1.12092e+07	1.33372e+07	1.4556e+07	1.27493e+07
O00233	O00233		PSMD9		6.50487e+06	7.42302e+06	7.04727e+06	6.85085e+06	7.20578e+06	6.11452e+06	8.28934e+06	8.03101e+06
O00244	O00244		ATOX1		7.5735e+06	6.8848e+06	6.62202e+06	4.58527e+06	7.72575e+06	5.9441e+06	1.00644e+07	7.3857e+06
O00255	O00255		MEN1		1.91252e+06	2.95487e+06	2.60816e+06	3.88619e+06	2.82544e+06	1.67517e+06	3.56757e+06	1.87891e+06
O00257	O00257		CBX4		2.28515e+06	1.53171e+06	2.54459e+06	2.15649e+06	1.94058e+06	1.6318e+06	1.52432e+06	2.69247e+06
O00258	O00258		GET1		3.61929e+06	4.09521e+06	4.22819e+06	4.37597e+06	3.797e+06	5.3596e+06	3.83321e+06	5.45096e+06
O00264	O00264		PGRMC1		1.58928e+08	1.56617e+08	1.80505e+08	1.94524e+08	1.70997e+08	2.89102e+08	1.96331e+08	2.69882e+08
O00267	O00267		SUPT5H		3.72719e+06	9.17137e+06	6.70407e+06	1.20967e+07	4.03625e+06	6.87934e+06	5.85102e+06	5.6835e+06
O00268	O00268		TAF4		1.0499e+06	1.29759e+06	824911	1.2686e+06		1.74694e+06	1.19797e+06	1.31344e+06
O00273	O00273		DFFA		4.69994e+06	7.83286e+06	6.31414e+06	5.98468e+06	5.2056e+06	5.8353e+06	7.74638e+06	6.75336e+06
O00287	O00287		RFXAP		122769	295235	173165	221833	162236	166077	233051	214643
O00291	O00291		HIP1		2.90745e+07	2.50499e+07	2.3528e+07	2.45244e+07	2.56191e+07	2.56841e+07	2.01847e+07	1.92685e+07
O00299	O00299		CLIC1		3.92401e+08	2.4934e+08	3.54372e+08	3.0418e+08	3.4456e+08	3.52266e+08	3.95737e+08	3.42951e+08
O00300	O00300		TNFRSF11B		4.24195e+06	1.70965e+06	2.32731e+06	1.99998e+06	1.15612e+06	1.917e+06	876474	1.24618e+06
O00303	O00303		EIF3F		7.35609e+07	1.37668e+08	1.23869e+08	1.75121e+08	7.89682e+07	1.13842e+08	1.08287e+08	9.68965e+07
O00308	O00308		WWP2		2.19742e+06	2.09491e+06	2.4157e+06	1.86067e+06	2.38536e+06	2.82475e+06	2.11825e+06	2.38702e+06
O00329	O00329		PIK3CD		2.65911e+06	3.28912e+06	2.69869e+06	3.22384e+06	2.75437e+06	2.70487e+06	2.19195e+06	2.08297e+06
O00330	O00330		PDHX		5.1241e+07	3.8028e+07	5.0484e+07	2.67852e+07	6.32055e+07	3.35067e+07	5.96525e+07	3.59889e+07
O00391	O00391		QSOX1		5.38792e+06	5.55031e+06	6.0477e+06	5.24609e+06	5.72028e+06	7.21021e+06	4.57612e+06	4.80223e+06
O00399	O00399		DCTN6		2.99739e+06	3.93506e+06	3.08534e+06	3.17806e+06	3.23089e+06	2.71442e+06	3.05512e+06	2.93326e+06
O00400	O00400		SLC33A1		1.90299e+07	1.75797e+07	1.92166e+07	1.94582e+07	2.43065e+07	2.41747e+07	1.76617e+07	2.08373e+07
O00401	O00401		WASL		1.8048e+07	2.23271e+07	1.97446e+07	2.15468e+07	1.66063e+07	2.26096e+07	1.81441e+07	2.29178e+07
O00410	O00410		IPO5		2.43668e+07	3.00691e+07	3.89709e+07	5.27578e+07	2.41882e+07	3.97466e+07	3.20678e+07	3.50532e+07
O00411	O00411		POLRMT		5.47667e+07	3.03348e+07	5.96896e+07	3.18341e+07	7.4815e+07	4.97586e+07	6.53179e+07	5.55926e+07
O00422	O00422		SAP18		4.53513e+06	7.94527e+06	6.37164e+06	7.71218e+06	5.34404e+06	6.15654e+06	7.61568e+06	6.77593e+06
O00425	O00425		IGF2BP3		1.72778e+07	1.22553e+07	1.78585e+07	1.70725e+07	1.25694e+07	7.07681e+06	1.41963e+07	6.71915e+06
O00429	O00429		DNM1L		1.91984e+07	4.4943e+07	3.66769e+07	4.96396e+07	2.76157e+07	3.96056e+07	3.75606e+07	4.21811e+07
O00442	O00442		RTCA		4.12767e+06	3.81806e+06	4.42568e+06	3.96872e+06	3.47025e+06	3.12665e+06	3.76739e+06	2.67117e+06
O00443	O00443		PIK3C2A		8.56964e+06	9.84583e+06	9.03542e+06	8.611e+06	6.64462e+06	6.79585e+06	7.96985e+06	6.34625e+06
O00458	O00458		IFRD1		21795.3	29462.2	57379.3	58660.9		30242	26483.6	17149.3
O00459	O00459		PIK3R2		9.93756e+06	1.14356e+07	1.06136e+07	1.12513e+07	1.1637e+07	8.56398e+06	1.0858e+07	1.10999e+07
O00461	O00461		GOLIM4		2.45269e+07	2.03273e+07	2.22031e+07	2.73125e+07	2.47309e+07	3.50518e+07	2.40053e+07	2.55718e+07
O00468	O00468		AGRN		1.66811e+07	4.56833e+06	1.14948e+07	7.35547e+06	1.44645e+07	9.84937e+06	8.05607e+06	6.7492e+06
O00469	O00469		PLOD2		6.05156e+07	1.5525e+07	3.01468e+07	1.98197e+07	7.46805e+07	3.39733e+07	2.84222e+07	2.64568e+07
O00471	O00471		EXOC5		1.41922e+07	1.43824e+07	1.42498e+07	1.74131e+07	1.36192e+07	1.26091e+07	1.30523e+07	1.28118e+07
O00478	O00478		BTN3A3		1.89609e+07	1.87691e+07	1.77442e+07	1.26754e+07	2.54189e+07	1.55203e+07	2.44805e+07	2.11907e+07
O00483	O00483		NDUFA4		3.30213e+08	2.98391e+08	3.42539e+08	4.24814e+08	1.70548e+08	5.54398e+08	3.00607e+08	4.35753e+08
O00487	O00487		PSMD14		1.3035e+07	2.37073e+07	2.00443e+07	2.8387e+07	1.58917e+07	1.63843e+07	1.98638e+07	1.60513e+07
O00499	O00499		BIN1		1.30125e+07	1.12123e+07	1.31122e+07	1.32004e+07	1.24081e+07	8.89341e+06	1.22047e+07	6.93244e+06
O00505	O00505		KPNA3		7.31614e+06	1.23484e+07	1.29147e+07	1.97503e+07	7.52498e+06	1.1961e+07	1.07954e+07	9.57137e+06
O00506	O00506		STK25		1.87792e+06	2.08366e+06	1.37762e+06	1.44385e+06	1.98796e+06	2.0086e+06	1.44921e+06	2.24759e+06
O00512	O00512		BCL9		2.42066e+06	4.4123e+06	3.32878e+06	3.471e+06	2.93927e+06	4.4047e+06	3.80233e+06	5.37625e+06
O00515	O00515		LAD1			1.40792e+06						
O00522	O00522		KRIT1		6.29129e+06	5.85766e+06	5.3237e+06	5.11522e+06	5.31772e+06	6.29854e+06	4.93822e+06	6.33429e+06
O00534	O00534		VWA5A		3.24209e+06	3.93493e+06	4.01428e+06	3.1907e+06	3.72455e+06	1.95451e+06	4.59625e+06	2.52749e+06
O00541	O00541		PES1		1.31242e+06	4.43476e+06	2.61874e+06	4.77962e+06	2.00663e+06	2.11985e+06	3.15355e+06	2.04103e+06
O00560	O00560		SDCBP		6.95297e+07	6.16013e+07	6.4599e+07	7.01216e+07	3.23217e+07	1.36798e+08	6.58939e+07	1.19131e+08
O00562	O00562		PITPNM1		2.66212e+07	3.51363e+07	2.72437e+07	2.81227e+07	3.41528e+07	1.97318e+07	2.80799e+07	2.13916e+07
O00566	O00566		MPHOSPH10		2.60996e+06	3.37253e+06	2.64566e+06	2.49034e+06	2.7828e+06	2.25523e+06	3.68876e+06	3.48238e+06
O00567	O00567		NOP56		6.36393e+06	1.75345e+07	1.18366e+07	1.79284e+07	1.12632e+07	9.9551e+06	1.36345e+07	9.87049e+06
O00571	O00571		DDX3X		5.00154e+07	4.02377e+07	5.36783e+07	4.5464e+07	4.176e+07	3.87543e+07	4.54727e+07	3.19304e+07
O00584	O00584		RNASET2		5.73191e+06	1.90908e+06	4.67379e+06	1.84151e+06	4.96705e+06	2.83886e+06	4.42993e+06	2.38668e+06
O00592	O00592		PODXL		2.50285e+07	1.39799e+07	2.15027e+07	1.68748e+07	1.69638e+07	1.76981e+07	1.81487e+07	1.8862e+07
O00622	O00622		CCN1		4.85384e+06	4.06893e+06	1.05692e+07	5.75845e+06	8.7763e+06	1.13951e+07	8.71392e+06	8.64673e+06
O00623	O00623		PEX12		3.2012e+06	2.64505e+06	2.89493e+06	2.30401e+06	3.6754e+06	3.15943e+06	3.45088e+06	3.63315e+06
O00625	O00625		PIR		6.41596e+06	7.31022e+06	7.35731e+06	6.60581e+06	5.98722e+06	5.96225e+06	6.98379e+06	6.04053e+06
O00629	O00629		KPNA4		1.50452e+07	3.06687e+07	2.63913e+07	4.24703e+07	1.85828e+07	2.49586e+07	2.47895e+07	1.88517e+07
O00635	O00635		TRIM38		2.61077e+06	2.62161e+06	3.70687e+06	5.57453e+06	2.30129e+06	4.34613e+06	2.94232e+06	2.72901e+06
O00712	O00712		NFIB		601713	2.69664e+06	659089	1.96287e+06	776412	816246	1.30816e+06	1.18195e+06
O00743	O00743		PPP6C		5.47216e+06	5.95123e+06	5.8477e+06	6.23867e+06	5.35178e+06	6.31911e+06	6.06665e+06	5.96925e+06
O00746	O00746		NME4		3.73874e+06	4.40238e+06	5.92997e+06	4.4995e+06	5.12376e+06	6.37644e+06	9.51974e+06	8.28581e+06
